major,minor,patch,linearized,count
3, 11, 1, 3.850000, 22
0, 9, 111, 0.833087, 3
3, 1, 50, 3.495146, 1
1, 0, 8001, 1.333278, 1
3, 2171, 3001, 3.999080, 1
5, 8, 29, 5.817109, 1
1, 17, 17, 1.899471, 1
1, 0, 1440903536853, 1.333333, 1
22, 43, 4, 22.956204, 1
1, 7, 66, 1.799410, 1
2014, 262, 1600, 2014.992453, 1
2015, 1, 10, 2015.478261, 1
3, 40, 3, 3.953052, 1
2014, 263, 530, 2014.992481, 1
0, 0, 154, 0.330472, 10
3, 0, 36, 3.321429, 1
10, 2015, 3, 10.999009, 1
0, 1, 856, 0.499708, 1
3, 44, 2, 3.956989, 1
1, 0, 1436314650534, 1.333333, 1
2, 9, 23, 2.832215, 1
2014, 260, 2045, 2014.992395, 1
5, 1, 10, 5.478261, 13
1, 0, 167, 1.330693, 2
2014, 259, 500, 2014.992366, 1
0, 1, 346, 0.499281, 3
1, 12, 15, 1.865613, 6
4, 2, 2, 4.555556, 113
0, 3, 175, 0.666038, 2
0, 9, 138, 0.833135, 2
0, 15, 7, 0.887500, 29
0, 5, 244, 0.749746, 1
3, 7, 26, 3.798561, 1
2014, 261, 715, 2014.992424, 1
18, 11, 0, 18.846154, 1
2014, 260, 1615, 2014.992395, 1
8, 3, 2, 8.636364, 6
2, 2, 39, 2.596059, 2
1, 1, 280, 1.499112, 1
1, 3, 71, 1.665138, 3
0, 8, 273, 0.818062, 1
0, 8, 20130906, 0.818182, 1
0, 4, 87, 0.713366, 5
0, 0, 255, 0.331599, 2
2015, 5, 18, 2015.746835, 1
0, 1, 995, 0.499749, 10
0, 34, 14, 0.945763, 2
2014, 101, 8, 2014.980732, 1
1, 0, 194, 1.331058, 1
5, 5, 7, 5.742857, 5
0, 1, 485, 0.499486, 1
1, 6, 23, 1.775785, 2
1, 8, 2, 1.809524, 189
8, 0, 32, 8.320000, 1
0, 5, 31, 0.748092, 42
3, 3, 23, 3.662162, 1
